City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
361,nelson bay,-32.7167,152.15,64.99,94,4,3.0,AU,1667850237
362,tolaga bay,-38.3667,178.3,59.14,65,98,5.26,NZ,1667850238
363,jinchang,38.4953,102.1739,39.42,41,89,4.29,CN,1667850238
364,jibuti,11.5,42.5,74.7,72,4,12.57,DJ,1667850238
365,vilhena,-12.7406,-60.1458,91.62,24,20,8.05,BR,1667850239
366,husavik,66.0449,-17.3389,39.99,94,100,10.38,IS,1667850239
367,torbay,47.6666,-52.7314,59.76,96,100,21.85,CA,1667850239
368,saint george,37.1041,-113.5841,71.26,28,0,26.46,US,1667850061
369,kedgwick,47.6446,-67.3434,50.63,56,18,13.42,CA,1667850240
370,roald,62.5833,6.1333,47.75,87,75,8.05,NO,1667850240
371,lingyuan,41.24,119.4011,34.63,33,4,4.25,CN,1667850241
372,liwale,-9.7667,37.9333,70.72,76,6,7.61,TZ,1667850241
373,ca mau,9.1769,105.15,74.7,93,100,3.0,VN,1667850241
374,birin,26.8865,88.0718,52.52,85,21,4.03,NP,1667850242
375,cedar city,37.6775,-113.0619,56.37,35,0,29.93,US,1667850242
376,taos,36.4072,-105.5731,59.2,32,0,5.75,US,1667850227
377,cesvaine,56.9667,26.3167,43.18,93,100,8.95,LV,1667850243
378,vardo,70.3705,31.1107,35.58,87,75,5.75,NO,1667850243
379,padang,-0.9492,100.3543,76.78,88,99,2.98,ID,1667850244
380,rincon,32.296,-81.2354,82.36,42,20,11.5,US,1667850244
381,talnakh,69.4865,88.3972,4.21,97,100,6.98,RU,1667850244
382,san jose,37.3394,-121.895,62.78,54,40,6.91,US,1667850142
383,ilebo,-4.3167,20.5833,69.15,92,52,0.72,CD,1667850245
384,kaoma,-14.7833,24.8,63.93,87,92,4.68,ZM,1667850246
385,sakaiminato,35.55,133.2333,48.18,100,20,6.91,JP,1667850246
386,alagoinha,-6.95,-35.545,82.06,55,97,15.37,BR,1667850246
387,lavrentiya,65.5833,-171.0,28.35,96,100,16.15,RU,1667850247
388,savannah bight,16.45,-85.85,81.86,69,14,11.65,HN,1667850247
389,tapes,-30.6733,-51.3958,65.23,71,12,12.21,BR,1667850247
390,bonavista,48.6499,-53.1147,52.81,92,100,16.37,CA,1667850248
391,bay roberts,47.5999,-53.2648,60.51,95,97,8.01,CA,1667850248
392,hay river,60.8156,-115.7999,3.18,72,40,9.22,CA,1667850248
393,filingue,14.3521,3.3168,82.69,12,47,7.16,NE,1667850249
394,neverkino,52.7854,46.7417,30.87,86,100,6.98,RU,1667850249
395,suez,29.9737,32.5263,69.93,40,0,8.9,EG,1667850250
396,filadelfia,39.9523,-75.1638,78.3,35,0,12.66,US,1667850072
397,port blair,11.6667,92.75,79.09,82,100,8.95,IN,1667850250
398,komsomolskiy,40.4272,71.7189,52.52,71,100,2.3,UZ,1667850251
399,santo antonio do ica,-3.1022,-67.9397,81.84,74,100,1.63,BR,1667850251
400,talwara,31.9486,75.8667,67.37,50,2,3.98,IN,1667850251
401,katsuura,35.1333,140.3,60.46,88,5,8.75,JP,1667850252
402,papara,-3.9839,-38.7273,82.8,63,94,8.57,BR,1667850252
403,dutlwe,-23.9833,23.9,66.79,84,100,2.64,BW,1667850253
404,puerto penasco,31.3167,-113.5333,74.05,64,82,16.62,MX,1667850253
405,ust-maya,60.4167,134.5333,-5.28,99,100,2.19,RU,1667850253
406,huarmey,-10.0681,-78.1522,69.49,72,12,10.6,PE,1667850254
407,karaikkudi,10.0667,78.7833,74.44,90,85,9.13,IN,1667850254
408,richards bay,-28.783,32.0377,72.28,83,99,10.87,ZA,1667850255
409,damghan,36.1683,54.348,45.3,61,87,0.76,IR,1667850255
410,verkhnevilyuysk,63.4453,120.3167,-16.62,99,28,2.68,RU,1667850255
411,sao joao da barra,-21.6403,-41.0511,78.89,69,29,10.56,BR,1667850256
412,gizo,-8.103,156.8419,81.34,78,100,6.55,SB,1667850256
413,edd,13.9297,41.6925,85.14,63,6,15.01,ER,1667850256
414,sola,-13.8833,167.55,81.05,73,93,10.71,VU,1667850257
415,jacqueville,5.2052,-4.4146,80.47,81,74,8.66,CI,1667850257
416,asau,46.4333,26.4,42.28,79,84,2.91,RO,1667850257
417,cabo san lucas,22.8909,-109.9124,84.61,62,5,9.98,MX,1667850139
418,linjiang,41.8069,126.9078,25.45,96,58,1.14,CN,1667850258
419,sept-iles,50.2001,-66.3821,45.05,92,75,5.75,CA,1667850015
420,taoudenni,22.6783,-3.9836,79.59,18,1,11.01,ML,1667850258
421,urambo,-5.0667,32.05,66.13,86,99,3.87,TZ,1667850259
422,ola,59.5833,151.2833,2.14,77,99,8.52,RU,1667850259
423,saldanha,-33.0117,17.9442,61.25,89,4,9.15,ZA,1667850260
424,bairiki,1.3292,172.9752,77.0,88,40,3.44,KI,1667850260
425,erdenet,49.0333,104.0833,30.02,48,7,5.23,MN,1667850260
426,damavand,35.7178,52.065,39.42,73,100,3.65,IR,1667850261
427,nandi hills,0.1066,35.1838,59.88,90,93,4.09,KE,1667850261
428,bayir,37.2687,28.2167,54.12,72,0,4.41,TR,1667850261
429,katangli,51.7102,143.2326,22.24,83,22,9.82,RU,1667850262
430,ardahan,41.1087,42.7022,31.37,82,100,4.23,TR,1667850262
431,villa carlos paz,-31.4241,-64.4978,85.39,21,100,17.0,AR,1667850262
432,nanortalik,60.1432,-45.2371,27.5,89,100,0.51,GL,1667850263
433,gisborne,-38.6533,178.0042,58.19,63,86,4.25,NZ,1667850263
434,coquimbo,-29.9533,-71.3436,60.53,77,100,11.5,CL,1667850263
435,ambilobe,-13.2,49.05,75.2,64,85,6.58,MG,1667850264
436,caiaponia,-16.9567,-51.8103,89.67,22,30,7.2,BR,1667850264
437,manadhoo,5.7667,73.3833,81.59,74,2,8.1,MV,1667850265
438,ullapool,57.8987,-5.1604,48.13,94,100,8.16,GB,1667850265
439,khani,41.9563,42.9566,45.97,67,100,6.06,GE,1667850266
440,soavinandriana,-19.1667,46.7333,61.54,83,100,2.26,MG,1667850266
441,farliug,45.4883,21.8494,54.0,80,100,2.57,RO,1667850266
442,menongue,-14.6585,17.691,71.49,57,92,4.43,AO,1667850033
443,hohen neuendorf,52.6667,13.2833,56.08,80,90,1.01,DE,1667850267
444,portland,45.5234,-122.6762,43.38,91,100,8.01,US,1667849985
445,lithakia,37.7167,20.8333,56.57,65,0,6.91,GR,1667850267
446,ancud,-41.8697,-73.8203,57.72,75,56,8.01,CL,1667850268
447,linxia,35.6003,103.2064,42.53,76,14,1.86,CN,1667850268
448,sitka,57.0531,-135.33,33.69,27,0,16.11,US,1667850269
449,boralday,43.3578,76.8594,46.26,93,100,4.47,KZ,1667850269
450,port keats,-14.25,129.55,82.98,70,13,7.45,AU,1667850269
451,discovery bay,37.9085,-121.6002,61.32,47,20,10.36,US,1667850270
452,lompoc,34.6391,-120.4579,59.77,96,100,10.36,US,1667850270
453,las vegas,36.175,-115.1372,73.83,32,0,23.02,US,1667850122
454,fuyang,32.9,115.8167,56.14,62,78,6.49,CN,1667850270
455,broome,42.2506,-75.833,66.38,28,0,16.11,US,1667850271
456,mudanjiang,44.5833,129.6,27.82,76,0,4.07,CN,1667850271
457,millet,53.1001,-113.4687,9.19,94,100,11.77,CA,1667850272
458,tarancon,40.0085,-3.0073,55.02,45,99,5.99,ES,1667850272
459,iracoubo,5.4802,-53.2011,78.91,85,99,9.48,GF,1667850272
460,halifax,44.6453,-63.5724,62.69,94,100,21.85,CA,1667850212
461,centralia,46.7162,-122.9543,43.95,91,100,11.5,US,1667850252
462,chimbote,-9.0853,-78.5783,67.42,76,18,10.54,PE,1667850052
463,eureka,40.8021,-124.1637,52.36,82,100,8.99,US,1667850273
464,luwuk,-0.9516,122.7875,77.32,88,100,2.64,ID,1667850273
465,ostrovnoy,68.0531,39.5131,29.66,94,95,4.79,RU,1667850274
466,launceston,-41.45,147.1667,52.16,88,31,6.91,AU,1667850274
467,banff,51.1762,-115.5698,-0.02,71,100,9.22,CA,1667850274
468,arawa,-6.2132,155.5367,77.14,86,28,1.34,PG,1667850275
469,port lincoln,-34.7333,135.8667,67.41,57,100,13.51,AU,1667850275
470,vinh,18.6667,105.6667,67.1,89,48,4.74,VN,1667850276
471,juegang,32.3174,121.1855,57.9,81,0,2.77,CN,1667850276
472,kondinskoye,59.6481,67.41,16.3,97,67,6.78,RU,1667850276
473,yumen,40.2833,97.2,38.05,37,49,8.05,CN,1667850277
